song names,song genre
Praise - Tchami,"['deep groove house', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive house']"
Only You - STANY & Tchami Remix - STANY,[]
Everything - Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']"
Say Nothing - Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']"
Stardust Circuit - Starjunk 95,[]
"World, Hold On - FISHER Rework - Bob Sinclar","['disco house', 'filter house']"
Push Up - Original Mix - Creeds,[]
Groove District - Starjunk 95,[]
Get Shaky - KXXMA,['nu gabber']
CHASE THE SUN - TurboKevin,[]
Dreaming - Gibson Parker Remix - Rootkit,"['chillstep', 'complextro', 'electro house', 'gaming edm', 'melodic dubstep']"
All The Things She Said - Cody Wong,[]
Out The Fire (At The Hotel) - Radio Edit - Franky Rizardo,"['circuit', 'dutch tech house', 'house']"
Afraid To Feel - LF SYSTEM,['uk dance']
Googoo Lagoon - DR. GABBA,[]
Cry In My Arms - southstar,['pop dance']
OBLIVIOUS - Mild Minds,['australian dance']
Glue - Bicep,"['ambient house', 'electronica']"
We Are The People - southstar Remix - Empire of the Sun,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']"
Rainfall (Praise You) - Tom Santa,['stutter house']
Maneater - JKRS,[]
Night Drive - Wilee,"['anime phonk', 'chill phonk']"
Bayside - Radio Edit - Obskür,['irish electronic']
DESTINATIONS - Mild Minds,['australian dance']
Coming Home - A-Trak,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'fidget house', 'turntablism']"
Crystals - Isolate.exe,[]
FORMATIONS - Mild Minds,['australian dance']
Yes To Heaven (Techno) - Way 2 Hard,['techno remix']
Patience - Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']"
Necrotic - FEAR MANE,[]
Never Let Go (Of Me) - Baltra,['lo-fi house']
Losing It - FISHER,"['australian house', 'house']"
